	LeukocyteMeth_score	CD4_mature	CD8_effector	NK_cells	B_cells	T_regs	Dendritics	CD8_effector_NK_cells	Macrophages	Macrophages_M2	Macrophages_M1
TCGA.20.1682.01	0.15019668288423801	-0.000557317856425555	-0.139460973485949	-0.179433518647447	-0.0752540037727276	-0.0349126317594353	0.000663332826731418	-0.0872647379962748	0.35259252453072	0.183010337888328	0.245334162568034
TCGA.20.1683.01	0.0704990826614184	0.00432329524651416	-0.262761964957337	-0.271272915263449	0.0797329524936158	-0.126043329063917	-0.106373878616687	-0.18831310093294798	0.236412568616037	0.12428901078569699	0.090476535549658
TCGA.20.1684.01	0.0369800736144284	-0.122097699972233	-0.38556555349252297	-0.368013252669523	-0.10296596567086899	-0.192700485430837	-0.0551464469017268	-0.312959121030414	0.14854950335605602	0.0279861989058508	0.0448593062218803
TCGA.20.1685.01	0.11943977291439699	-0.0559628775373205	-0.226635198445719	-0.297615568662882	-0.11463116678507801	-0.0674078214532742	0.0770041625003674	-0.17179303207561097	0.416748887408216	0.246448505397674	0.271291986364865
TCGA.20.1687.01	0.111734048092018	-0.0413811836986997	-0.213598198274932	-0.24988677781472002	-0.0822746491401038	-0.0469324665762702	0.12828788121082	-0.13721644809751	0.31581842742191696	0.195056371554511	0.19637276478747603
TCGA.23.1026.01	0.149074790341299	1.9468089390131697e-05	-0.19244175921725898	-0.168219640835034	-0.0337513086598012	-0.0328509606641919	0.193862981387853	-0.0453735581464597	0.376169820344019	0.237593201421303	0.331309649412104
TCGA.23.1027.01	0.178988856489213	-0.0687542121549744	-0.288774852020327	-0.296592558139643	-0.10800707702930801	-0.0194068681624242	0.16694578728681198	-0.18182908727164002	0.346469366291231	0.20869601020088602	0.22897988662003896
TCGA.23.1029.01	0.0499276777822767	-0.0262591197271636	-0.39813996729210793	-0.369769954354034	-0.0774863460912927	-0.136183320285367	0.0278020712847706	-0.270760847076925	0.362415892725097	0.205053510693414	0.253855913188765
TCGA.23.1109.01	0.0512069719020694	-0.0871072903249568	-0.26320329217469196	-0.289210537501839	-0.0536165378653964	-0.130494853581937	0.0559418706417373	-0.192598880423699	0.29469121623641403	0.166270598987192	0.159840138228678
TCGA.23.1111.01	0.0423176346411896	-0.0870707137619405	-0.365298599944401	-0.367621915939843	-0.107822662639171	-0.168416914190241	0.0524152598814701	-0.262465915813063	0.11485454264185199	0.0493212411833205	0.0166564779319157
TCGA.23.1114.01	0.0686604336395235	-0.0173095657199892	-0.41779250692536896	-0.41438573679607205	-0.185374614937948	-0.22560135058101002	0.0749610448757445	-0.286476317053039	0.158856142865057	0.0114921441754166	-0.0188188615487301
TCGA.23.1120.01	0.06359359133321499	-0.0496554503591286	-0.214399772291062	-0.195055071379337	-0.0210648487264699	-0.0734603416268115	0.0573910015304174	-0.0536740521788867	0.447232209565851	0.29995088873066494	0.400859138923817
