	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03
Pericytes	0	0.0571	0.0205	0.0763	0.0553	0.0094	0.0304	0.0259	0	0.0514	0.0628	0.0884	0.0397	0.0691	0.0747	0.0733	0.1174	0.0274	0.089	0.1187	0.0461	0.0557	0.0394	0.0705	0.0675	0.0545	0.0857	0.079	0.0436	0.0047	0.032	0.048	0.0881	0.0834	0.0768	0.09	0.0751	0.0062
Plasma cells	0.0067	0.0894	0.0355	0.001	0.0159	0.037	0.007	0.0095	0.0792	0.0959	0	0.18	0.1088	0.0552	0.0857	0.0534	0.1303	0.0987	0.101	0	0.0388	0.0359	0	0.1006	0.0138	0	0.1006	0.0882	0.0116	0.0048	0	0	0.0523	0.0911	0.1513	0.1271	0.1701	0.0982
Platelets	0.0058	0.0209	0.044	0	0.0146	0	0	0	0	9e-04	0	0	0.0244	0	0.0209	0.0466	0.0229	0.0554	0.0164	0.01	0.0128	1e-04	0.0213	0	0	0.0475	0.0099	0.019	1e-04	0.0216	0.0801	0.0065	0	0.0041	0.0249	0.0339	0.0202	0.007
Preadipocytes	0.0388	0.0827	0.0851	0.0426	0.0851	0.1186	0.0234	0.08	0.0736	0	0.0521	0.021	0	0	0.105	0.0934	0.0353	0.0839	0.0528	0.0318	0.101	0.0167	0.0195	0.0496	0.0105	0.0784	0.0319	0.0208	0.0917	0.1333	0.1332	0.0169	0.039	0.1112	0.0251	0.0537	0.0547	0.0622
Sebocytes	0.008	0	0.0046	0.0032	0.0046	0.0064	0.0033	0	2e-04	0.0014	0.0052	0.0073	0.0015	0	0.0035	0.0054	0.0058	0.0063	0.0055	0.006	0.007	0.0041	0.0056	0.0103	0.007	0.011	0.0074	0.0092	0.017	0.0079	0.0127	0.016	0.0092	0	0	0.0062	6e-04	0.0075
Skeletal muscle	0.0231	0.0076	0	0.0132	0.0127	0.0154	0.0233	0.0186	0.0086	0.0074	0.022	0.0166	0	0.0094	0.0079	0.0356	0.022	0.0016	0.0235	0.0122	0.0227	0.0159	0.0274	0.0234	0.0316	0.0113	0.0234	0.0287	0.0025	0.0261	0.018	0.007	0.0098	0.0076	0	0.0179	0.0049	0
Smooth muscle	0.0561	0.0829	0	0	0.0185	0.1188	0	0.0438	0.138	0.1638	0	0.1335	0.107	0	0	0	0.0031	0.1116	0	0	0.0669	0	0	0.0678	0	0	0.0285	0.0414	0.1343	0.0526	0.0321	0	0.0921	0	0.0549	0.1271	0.1238	0.1314
Tgd cells	0.1267	0.1048	0.1026	0	0.0631	0.1278	0.1202	0.1161	0.0776	0.1047	0.0048	0.1275	0.1369	0.115	0.0076	0.038	0.0239	0.105	0.0925	0.0031	0.1069	0.1191	0.1132	0.1319	0.0701	0.0813	0.1333	0.1341	0.0279	0	0	0.0804	0	0	0.0447	0.0336	0.042	0.0464
Th1 cells	0	0	0	0.0982	0	0.1044	0.1731	0.1022	0.2863	0.2324	0.0028	0.1664	0.2946	0.2757	0.2083	0.1394	0.1441	0.1023	0.0998	0.1377	0.0606	0.0038	0.0157	0.097	0.1616	0	0.0927	0.1846	0.1009	0.0064	0.046	0.1142	0.1307	0.105	0.1513	0.1503	0.2098	0.1985
Th2 cells	0.0651	0.0858	0.0719	0	0.012	0.0386	0.0067	0.022	0.0241	0.089	0.0241	0.1235	0.0847	0.0519	0	0	0.0405	0.0743	0	0	0.0269	0	0.0457	0.051	0.0247	0.0814	0	0	0.0571	0.0403	0	0	0.0575	0.0221	0.0485	0.0635	0.0873	0.003
Tregs	0.0535	0.1035	0.0452	0.0958	0.1198	0.0257	0.08	0.0189	0	0.155	0.0778	0.0651	0	0.0221	0.0462	0.0131	0.0051	0	0.1195	0.1079	0.0628	0.0701	0.0547	0.0349	0.0237	0.1229	0.041	0.0109	0	0.194	0.0746	0.022	0.0681	0.0743	0.0371	0	0	0
aDC	0.0209	0.0785	0.0221	0.0363	0.0792	0.0442	0	0.0334	0.0034	0.0485	0.0248	0.094	1e-04	0.0429	0.0054	0.046	0.0318	0.0754	0.0827	0.0434	0.0069	0.0022	0.0178	0.0703	0.0615	0.0378	0.053	0.0826	0.0106	0.0476	0.0253	0.0059	0	0.0506	0.042	0.0115	0.0445	0
cDC	0.0689	0.0237	0.1065	0	0.0146	0.0217	0.0063	0.0164	0	0	0.0134	0.0275	0	0	0	0	0	0.0142	0.0477	0	0.021	5e-04	0	0.0522	0	0	0	0	0.0666	0	0.0328	0.0073	0.0092	0.0652	0.0912	0.041	0.0602	0
iDC	0	6e-04	0.0641	0	0	0.0288	0.0212	0.0319	0.0271	0.0631	0	0.0293	0	0	0.0174	0	0	0.0268	0.0092	0.0096	0.0309	0.0087	0.0319	0.0139	0	0.0968	0.022	0	0.0578	0.03	0.0195	0.0749	0.0234	0.0354	0.0076	0	0.0521	0.0105
ly Endothelial cells	0.0702	0	0.079	0.0205	0.0328	0	0.0378	0.0575	0	0.0418	0.0223	0.1065	0.0306	0.0446	0.0451	0.0347	0.0358	0.0202	0.0222	0.0282	0.1103	0.0592	0.0664	0	0	0.065	0.0705	0.0803	0.1041	0.016	0.0625	0.1166	0.0756	0.0525	0.0491	0.0343	0.0314	0.0642
mv Endothelial cells	0	0	0.0659	0.0329	0	0	0.0569	0.0399	0.0757	0.02	0.049	0.1823	0.0449	0.0537	0.1137	0.1071	0.0741	0.1199	0.049	0.0807	0.1234	0	0.0608	0.0134	0	0.0251	0.0977	0.0644	0.0906	0.015	0.0416	0.0843	0.0842	0.0407	0.1134	0.0746	0.0993	0
naive B-cells	0	0.0146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0126	0	0	0	0	0	0	0	0	0	0	0.0248	0	0	0	0.0483	0	0	0	0
pDC	0.0168	0.065	0.0067	0	0.0102	0.0372	0.0054	0.0362	0.0201	0.0124	0	0.0022	0.0167	0.013	0	0	0.0121	0.0324	0.0059	0	0.0277	0	0.0209	0.0252	0	0	0	0.0359	0.0101	0	0.0095	0.0157	0	0.003	0	0.0022	0.0227	0
pro B-cells	0.0128	0.012	0.0597	0.0355	0.0348	0.0478	0.067	0.0487	0.0768	0.0369	0.0234	0	0.0742	0.1173	0	0	0	0.0304	0.0016	0	0	0.0216	0.018	0	0	0.0088	0.0019	0.0433	0	0	0	0	0	0	0	0	0	0
ImmuneScore	0.4338	0.4595	0.5284	0.3285	0.3736	0.3495	0.2702	0.2399	0.1828	0.1867	0.3811	0.404	0.0619	0.3043	0.2903	0.2833	0.1518	0.4228	0.3822	0.3171	0.3041	0.4227	0.4578	0.4096	0.3738	0.5809	0.3409	0.4819	0.2225	0.3641	0.2424	0.337	0.2662	0.5314	0.3485	0.2973	0.3633	0.2899
StromaScore	0.21	0.1854	0.2632	0.0271	0.1007	0.0833	0.0058	0.0837	0.1032	0.0374	0.0622	0.1712	0.0156	0	0.0992	0.0637	0.1491	0.1942	0.057	0.0108	0.2048	0.0758	0.0492	0.0668	0.0577	0.0504	0.124	0.0361	0.1518	0.241	0.2792	0.1238	0.0998	0.2216	0.3295	0.157	0.1713	0.0306
MicroenvironmentScore	0.6438	0.6449	0.7916	0.3556	0.4743	0.4328	0.2759	0.3236	0.286	0.2242	0.4433	0.5751	0.0776	0.3043	0.3895	0.347	0.3009	0.617	0.4392	0.3279	0.5089	0.4985	0.507	0.4764	0.4315	0.6314	0.4649	0.518	0.3742	0.6051	0.5216	0.4608	0.366	0.753	0.678	0.4542	0.5345	0.3206
