	LeukocyteMeth_score	T cells	CD8 T cells	Cytotoxic lymphocytes	NK cells	B lineage	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts
TCGA.20.1682.01	0.15019668288423801	122.575485714286	51.3577	57.89171428571429	2.7302125	35.4929	369.865928571429	42.0307	308.93348666666697	374.766729032258	41674.3321875
TCGA.20.1683.01	0.0704990826614184	34.9294285714286	17.1389	32.3822714285714	8.258475	246.5445875	201.16497142857102	45.3352	222.068653333333	245.211048387097	7838.839
TCGA.20.1684.01	0.0369800736144284	22.7989285714286	8.974	3.4995285714285695	1.5158875	44.02135	110.678414285714	6.3061	135.74258	173.93958064516102	4651.052025
TCGA.20.1685.01	0.11943977291439699	171.884692857143	14.8071	16.8893428571429	2.111175	65.61975	999.181971428571	83.05858	243.499726666667	244.424596774194	5874.902825
TCGA.20.1687.01	0.111734048092018	63.33627142857139	11.217	22.834714285714302	2.4537375	40.731925	403.52937142857104	20.8637	255.5618	189.26581935483898	14334.3367875
TCGA.23.1026.01	0.149074790341299	116.803278571429	40.3981	250.44245714285702	5.3688625	77.722475	442.790228571429	31.147540000000003	204.52772	221.847467741935	29138.9739375
TCGA.23.1027.01	0.178988856489213	64.8647	9.9697	10.6198571428571	1.354575	92.2464375	637.9463	46.12048	208.85711333333302	242.533032258065	38326.108325
TCGA.23.1029.01	0.0499276777822767	37.2866142857143	1.6551	6.809471428571429	1.2413125	95.0016375	255.99424285714298	7.613360000000001	304.38043999999996	370.634693548387	12794.0251625
TCGA.23.1109.01	0.0512069719020694	79.01659285714291	30.6893	28.328614285714302	4.013225	144.1808375	517.266985714286	164.77808000000002	170.821526666667	290.180335483871	18674.256975
TCGA.23.1111.01	0.0423176346411896	150.95307857142902	22.7596	5.9259	2.7072875	146.1940125	108.647914285714	13.141860000000001	225.88334	275.712	10028.1600125
TCGA.23.1114.01	0.0686604336395235	86.8116928571429	0.6536	2.47442857142857	3.30895	171.6977625	176.448885714286	21.5041	232.99368666666697	356.162625806452	22651.5368625
TCGA.23.1120.01	0.06359359133321499	174.36095714285702	45.0971	99.5651142857143	7.828375	60.8127875	577.6240571428569	27.741559999999996	143.69588000000002	237.685167741935	12716.17245
TCGA.23.1122.01	0.0946124613436426	113.824728571429	3.0896	13.878671428571401	3.218325	48.9615625	349.07557142857104	32.6811	194.141206666667	242.11033870967702	12616.789825
TCGA.23.1123.01	0.13148439594716999	147.391678571429	51.2137	112.029871428571	10.236075	150.8735875	814.4255857142861	37.61	258.59340666666697	183.227958064516	3584.988325
TCGA.23.1809.01	0.0431108737860312	103.60477857142901	9.3345	9.63565714285714	1.355025	45.8069875	250.056771428571	17.524820000000002	245.92994	280.918196774194	7355.95905
TCGA.23.2077.01	0.106573108171569	188.09770714285702	15.7399	19.9487428571429	1.71525	260.4652875	714.385028571429	38.3408	201.6323	266.518625806452	11533.7873375
