	LeukocyteMeth_score	B.cells	CD45	CD8.T.cells	Cytotoxic.cells	DC	Exhausted.CD8	Macrophages	Mast.cells	Neutrophils	NK.CD56dim.cells	NK.cells	T.cells	Th1.cells	Treg
TCGA.25.2397.01	0.0774845554657498	-0.233095230921573	0.0567075751163775	-0.220711822402038	-0.19501640615061802	-0.227240133415047	-0.193574796873193	0.121954888446994	-0.256231807770236	-0.17429398268163598	-0.32149989165799897	-0.280988535428264	-0.27027056996794396	-0.348603470165044	-0.23376005078290302
TCGA.25.2398.01	0.0825395809050095	-0.18007123648681198	0.106591197630131	-0.190738921723042	-0.24050590514279999	-0.18127695828264703	-0.13251676226474599	0.203544409015544	-0.164157997538928	-0.196965267627402	-0.31816151557141303	-0.4658440987730879	-0.22649711750632603	-0.301682183664833	-0.181337283114685
TCGA.25.2399.01	0.128931226117247	-0.246007117341891	0.16848286077020702	-0.117259307425133	-0.0154445778624037	-0.145029670545585	-0.0862523742063861	0.242921975082063	-0.38335770723794804	-0.170553937619752	-0.284908793751469	-0.198389722024906	-0.156865157270679	-0.25	-0.147058823529412
TCGA.25.2400.01	0.0774210441786634	-0.272418145736214	0.0148116800677105	-0.162221306092654	-0.265319736041942	-0.24699872088054697	-0.208608535055175	0.15454987339402698	-0.316224628566303	-0.21477635660019398	-0.399198541638089	-0.30501539851209597	-0.24572849772795302	-0.323635209479475	-0.14346170122725302
TCGA.25.2401.01	0.259829666479657	-0.166108569589647	0.361563690224291	-0.0634690462132211	-0.128664529550069	-0.10132957978693198	-0.0799850929366013	0.308406671997915	-0.21290808565311	-0.0910018273012693	-0.27851079001741497	-0.26502343269233397	-0.132965292090248	-0.215457046127804	-0.0391451544646636
TCGA.25.2404.01	0.10350336225151599	-0.238775234497807	0.0872831146847228	-0.12965487175855	-0.15507329002898998	-0.204324259447735	-0.16713247586208801	0.1698195795354	-0.221326781754476	-0.16545837945970002	-0.312813346639877	-0.304794847780565	-0.18864023418531198	-0.273381294964029	-0.18657426999576798
TCGA.25.2409.01	0.11999412234872099	-0.20999280909837	0.180755395683453	-0.194354371811752	-0.0501245525800676	-0.109577985633302	-0.132570651334842	0.251012154414992	-0.374980174930254	-0.178363515751941	-0.26633757697497	-0.18866684739536901	-0.170529163505238	-0.235611510791367	-0.13647905205247599
TCGA.29.1688.01	0.10318966920191901	-0.287845473473376	0.24978840457046103	-0.0758467796291749	-0.0522854291350878	-0.18832017998431697	-0.091429983677595	0.24898002048127302	0.0329956347262896	-0.118361728085794	-0.241999594783412	-0.175891953155165	-0.12145527269011899	-0.207363520947948	-0.09685780787135001
TCGA.29.1690.01	0.10886512546563001	-0.268518402095067	0.30057130765975504	-0.125323183571705	-0.15015493566958302	0.129398389778212	-0.155020685263229	0.315305481797261	-0.165003865702961	-0.119666991928974	-0.271703467862458	-0.25690930833085296	-0.10021516295186801	-0.262008040626322	-0.0774439272111722
TCGA.29.1691.01	0.0784900989578772	-0.305288556867978	0.0316335167160389	-0.11971068258884698	-0.206869241082454	-0.211435007278749	-0.167012505094974	0.136545449079955	-0.303749243394095	-0.197345816853078	-0.358859581376849	-0.286370234846829	-0.201178275263422	-0.308400338552687	-0.165732120186204
TCGA.29.1693.01	0.0872511918861857	-0.221818744736073	0.0865425306813373	-0.17028980626450502	-0.12297438585314299	-0.201193065256653	-0.149314637516578	0.11196103290700199	-0.233504862978052	-0.21457858595223103	-0.32389893280563103	-0.24228840812476898	-0.202421496247208	-0.287716885315277	-0.19847651290732102
TCGA.29.1694.01	0.0985181362756585	-0.30525064228528304	0.0717308506136267	-0.19872678219133702	-0.166388594590926	-0.186657003430457	-0.19328257168451302	0.0908678444129953	-0.174671655571435	-0.217564718301404	-0.320385239348783	-0.27427970610186897	-0.209486273595807	-0.298984341938214	-0.16208209902666101
TCGA.29.1695.01	0.13245443734644302	-0.26652591252117896	0.33061785865425297	-0.08669375563435601	-0.10956207816315598	-0.17490942345194596	-0.0944891394776761	0.31632032267842797	-0.11729690253563302	-0.1313493202562	-0.286955743003993	-0.25692247892888004	-0.149126510571189	-0.25021159542953897	-0.173666948793906
TCGA.29.1696.01	0.0310399089453129	-0.312039787266545	0.00782903089293271	-0.179186111983645	-0.20383668025543697	-0.186150701402603	-0.221951522905341	0.019870709495327	-0.4376865248791721	-0.256893829172726	-0.372879900329926	-0.281105206154445	-0.17228909459962805	-0.278195090986035	-0.203237410071942
TCGA.29.1697.01	0.0389279538091999	-0.27098655256958304	-0.0916737198476513	-0.0234243798506283	-0.248066299324927	-0.277474877963966	-0.186528065513126	0.0245016496364969	-0.38213759682319703	-0.289222571858871	-0.39284272823938	-0.309308430518089	-0.22512569030186802	-0.36442022852306394	-0.13568556919170502
TCGA.29.1698.01	0.100323962712601	-0.27051344080615497	0.0567604739737622	-0.176443892360828	-0.211502170374268	-0.18792479479220603	-0.174021864342746	0.130476690925059	-0.222745851382267	-0.21621679656720103	-0.35127734409879996	-0.319075116876704	-0.171281496083478	-0.24481591197630104	-0.116959373677529
TCGA.29.1699.01	0.136788072788647	-0.125751181280536	0.252803639441388	-0.19345256782658998	-0.0626123135504283	-0.12113395674789801	-0.0178470842250386	0.311354664043816	-0.25337157672648897	-0.142346272869428	-0.25258548572317	-0.20999800393933804	-0.13715063682302697	-0.20376639864578897	-0.0702496826068557
TCGA.29.1701.01	0.12368942906132599	-0.202730304403965	0.19218154887854397	0.00622623763456316	-0.12521721852042	-0.174244520589326	-0.109994900326852	0.20625714876523896	-0.20986960304773603	-0.134433834147005	-0.324598138107002	-0.235645101076481	-0.0974177947235464	-0.287716885315277	-0.17028142192128604
TCGA.29.1702.01	0.045933594859712004	-0.28149430584334695	-0.0901925518408802	-0.235173523300303	-0.31805696932710403	-0.250725529709713	-0.192934326908152	0.0324204810303432	-0.24944957659035602	-0.268536143745746	-0.452708755465335	-0.3666216411106721	-0.306135556632741	-0.5295175624206521	-0.24661447312738002
TCGA.29.1703.01	0.041575639338058995	-0.329159981803122	-0.0106855691917055	-0.19535833759026397	-0.16929680526816598	-0.19017031234391196	-0.10605111635930499	0.0648857285416087	-0.34737388589228696	-0.226749571147579	-0.332856459966959	-0.285863603515909	-0.21430979228988603	-0.28956834532374104	-0.15144942869234
TCGA.29.1705.01	0.101890937593039	-0.242951817153638	0.158802369868811	-0.16379352501024697	-0.20567837358141	-0.24037475568646	-0.17896686814809698	0.17802790569507698	-0.233619359840189	-0.21236564437873498	-0.33223907575511896	-0.32007968036128803	-0.18233962547993002	-0.27946466356326694	-0.156263224714346
TCGA.29.1710.01	0.311696648165414	-0.20262856488220102	0.380977570884469	-0.00568707983728767	0.0596097886984461	-0.15882139817800597	-0.0439581477235284	0.26283282987029394	-0.224748236510124	-0.149777989236369	-0.2186817694943	-0.11287698628121	-0.0648726899304697	-0.161764705882353	-0.00481379602200593
TCGA.29.1711.01	0.122876326172174	-0.319740286873863	0.23164409648751602	0.0270071571403655	-0.0460641002253868	-0.16525172965388402	-0.0606511960486045	0.19964091572194098	-0.24152418473106	-0.165465952934599	-0.24548489726025302	-0.15628130115316502	-0.0709026002732861	-0.16314007617435503	-0.0915150232754973
