	LeukocyteMeth_score	B_cells	Cytotoxic_cells	Dendritic_cells	Endothelial	Eosinophils	Fibroblasts	Macrophages	Macrophages_M1	Macrophages_M2	Mast_cells	Monocytes	NK_cells	Neutrophils	Plasma_cells	T_cells_CD4	T_cells_CD8	T_cells_gamma_delta	T_regulatory_cells
TCGA.29.2428.01	0.11744403508036601	0.0681452301127507	-0.036918485647964995	0.15038609528215802	-0.11605553621994302	0.0866103199455031	0.0870037617396978	0.27969574199806	0.235575997992383	0.262580166812841	0.20369478995015197	0.126870038486485	0.0162498371148906	-0.0632306896432403	0.288686244421425	0.0567735257071311	0.0744962988649368	0.0710996867259461	0.0938973641141025
TCGA.29.A5NZ.01	0.0326013567720752	-0.0689478589423986	-0.343342425803266	-0.0356027727951117	0.0550394209133522	0.0235082082357367	0.14284995394797	0.122401679939182	0.0548928971616498	0.0280732658707012	0.00813106819246905	-0.0232024672692227	-0.263123828354295	-0.20194146832297602	0.258092383765634	-0.14926961630786198	-0.131273644460803	-0.17135048928493302	-0.17945872456554302
TCGA.30.1718.01	0.166822777241379	0.0569930939409718	-0.20127067148335603	0.0700139943377774	0.0232165214186641	0.0519077131002999	0.195272376701939	0.185904289723755	0.157145449615606	0.124095312784827	0.045534989887376996	0.0617895788466388	-0.132361967183251	-0.11793438105384599	0.290377204696866	-0.0324323415330122	-0.0357417917075293	-0.0855719895409383	-0.0603810862297574
TCGA.30.1855.01	0.13550598328649302	0.0972748452953852	-0.21038079706773102	0.115276071199925	0.0086411358333559	0.0537412700683764	0.0922434327843676	0.245835287336081	0.20202800300749899	0.220533442824811	0.10769456834728301	0.121884670814004	-0.0795511288165852	-0.0896710787861287	0.229782218370949	-0.0221367050713975	0.000554840081804169	-0.0606885786477956	-0.0195815815554597
TCGA.30.1857.01	0.124668841027062	0.0953960724878065	-0.132523589305439	0.13730808710093198	0.0429225769221979	0.0663446893291288	0.24262572977002397	0.248811477243665	0.18204005240157897	0.23955246152044102	0.14607348875859502	0.131572014358295	-0.0498639016891539	-0.0915682568238912	0.254069060164345	0.0173884872475871	0.0258311062490643	-0.0399803160138397	0.0071854520030674406
TCGA.30.1860.01	0.209468642027908	0.117018917230526	0.10435047741895899	0.19767238520351102	-0.0314458263289264	0.19893900851904198	0.091245962249518	0.272738352765869	0.29236250724334994	0.242113273836066	0.20886760156931303	0.162256006343725	0.0982673166683145	0.0372426541352522	0.387746794943209	0.1210844833261	0.146202820950185	0.14939452526706304	0.15925044029532598
TCGA.30.1861.01	0.0827317533894677	-0.122705003504488	-0.380667086818674	-0.0854523652432043	-0.0139839768773166	-0.0507327877318276	0.31657048348740896	0.094293683669411	0.0202535397449134	0.0225640921406951	-0.0355175286871156	-0.0511291829544659	-0.274975112404957	-0.24265700860032602	0.179930473966523	-0.21123562976982602	-0.180301598569648	-0.220278716107616	-0.27889162869108597
TCGA.30.1862.01	0.10386692887739801	-0.00768212578203707	-0.259208071836455	0.0203626908791069	0.0183147027227519	0.0694907744625266	0.15843126151261902	0.137421216568074	0.0959521137551446	0.0637006308697615	-0.0250334861137148	0.0295045548170528	-0.161628610882752	-0.133918264793891	0.316569086677243	-0.0658128192221914	-0.060434735654372004	-0.10259659180773402	-0.0933258656057548
TCGA.30.1891.01	0.12807652409319198	0.0251826404945482	-0.16756143429468398	0.0707700262851702	0.0527355735477319	0.0936278874265587	0.243801259807879	0.21559897358698105	0.14206540500713	0.199395952029878	0.10912717397195099	0.0951784276231585	-0.10349793961750099	-0.0492838113198302	0.291628016681161	-0.0468161113466856	-0.0263000822580727	-0.0765498298294093	-0.0848880200356414
TCGA.31.1944.01	0.136100761186679	-0.0130624874316115	-0.231000798370612	0.0431219176455305	0.0431306852837594	0.10389707677144501	0.172244897946139	0.193935120850592	0.133629544414193	0.0934489370735985	0.0510692134386979	0.0670176727564987	-0.157794816250234	-0.0940800780697587	0.282719409522745	-0.0733027122875264	-0.0608771048142598	-0.0714109349054432	-0.112630428533211
TCGA.31.1946.01	0.169152174769555	0.0867573305018911	-0.198746608454488	0.13966955364979097	0.131380101065202	0.146949744179943	0.216977390743795	0.318272092558252	0.241088187198467	0.27082976176927	0.21738211576487898	0.131254643668691	-0.117991808002322	-0.0520569857678593	0.32220931551921805	-0.023254634428454	-0.0101216003560174	-0.034044233670057	-0.0333581340591562
TCGA.31.1951.01	0.11196817905790898	0.079891453797436	-0.10473294704863301	0.15626790118581602	0.0470100639009774	0.16926262496773	0.132340654906145	0.295172321739445	0.24764794796326298	0.220741303877989	0.17277983271952202	0.141874226524011	-0.0608649203995918	-0.0449018767263143	0.329751900663049	0.0168815654149662	0.0378889994141613	0.010866437046	0.0219534768531648
TCGA.31.1953.01	0.168323688974648	0.20904834876559697	0.0969169725074163	0.274711915970629	0.0947573819203602	0.25524450161051804	0.1225846156258	0.37827310327329905	0.326065037032395	0.370552783210996	0.339104569596717	0.27715764255993103	0.10884323623036901	0.0728645506254567	0.330908770408714	0.137767542688463	0.166762857086676	0.13920113981331397	0.14882983131442099
TCGA.31.1956.01	0.24576093820874698	0.25888379052270605	0.134802422371354	0.36294769032731705	0.223147262148793	0.32714720888284304	0.206293161936059	0.45905313744798104	0.41147037777831397	0.466159167587731	0.3871605650346471	0.345699223363669	0.169294961080892	0.21490421513120103	0.45041213690558396	0.241984169261805	0.249410355085443	0.22783901330934397	0.294741355607718
TCGA.31.1959.01	0.227924559809147	0.13058075978136302	-0.17433265242519	0.16399604187623001	0.12267915336789001	0.18827939303651398	0.25741815843705396	0.29669141419738504	0.23411827933917198	0.257917685994505	0.15080893533507098	0.17728473958577898	-0.0765714574864434	0.0108334125703448	0.32742650256265005	0.018422257746256002	0.0329648213209293	-0.0264745039693236	0.0281185330319772
TCGA.36.1568.01	0.0935719059023287	0.10285194870024601	-0.17818081915911702	0.0963712276446885	-0.0034834619934938898	0.0585144338604141	0.119154165400966	0.238104151593678	0.170328546566394	0.21027872533460698	0.163483522039703	0.105183328145877	-0.0634029618939518	-0.11341858485166802	0.278263218723231	-0.005555945548523279	-0.0047570469662119395	-0.0692423326000133	0.0064515276218145
TCGA.36.1569.01	0.19316145683348	0.0857200931397943	-0.14026972175925698	0.17853402563018697	0.0149332260651965	0.15563793198193301	0.19516988506110103	0.293864450375656	0.23362683500828502	0.229225208462353	0.176804368216087	0.17967840641293104	-0.0276159535873712	-0.0333899303908002	0.340646797200578	0.0647946014445064	0.0898854405054614	0.0101061286163389	0.0690610157176375
