"Hugo_symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"CDKL2"	0.0460205306445856	6.85421854938545	0.137827146792242	0.891134193121908	0.981465411076148	-5.89222164425763
"PNKP"	0.0178265293669622	5.86080799164482	0.137661130033159	0.891264476047832	0.981535200440694	-5.89224340247313
"RXRA"	-0.0179803765716722	5.06327328182906	-0.137018576010781	0.891768754033674	0.981952998204086	-5.89232736893589
"C1orf35"	-0.0275708782814563	7.10782772590759	-0.136944876759347	0.891826596306944	0.981952998204086	-5.89233697458239
"PARP9"	-0.0691175169582028	14.1692390336034	-0.136921829141611	0.891844685170087	0.981952998204086	-5.89233997745108
"RDH8"	-0.0101461634577702	3.16056754123884	-0.136765451875907	0.891967419010028	0.982013246462121	-5.89236033847457
"LGR4"	-0.0380547682203209	6.34108920662694	-0.136681508736649	0.892033303508406	0.982013246462121	-5.89237125866222
"NISCH"	0.0540063828292556	6.44548048619568	0.136495897817592	0.892178986808721	0.982029946858699	-5.89239538106489
"NEUROG1"	-0.00979382587466304	3.04851712552742	-0.136420725405111	0.892237989616319	0.982029946858699	-5.8924051413206
"CD3EAP"	0.0118685635905234	4.34299118012041	0.136371481778785	0.892276641263048	0.982029946858699	-5.89241153211611
"MAPK3"	-0.0714314176779975	9.05897677667688	-0.136280777714171	0.892347836178487	0.982029946858699	-5.89242329757928
"REST"	-0.0424009819588864	5.82062518370749	-0.136151783041177	0.892449087495506	0.982029946858699	-5.89244001635027
"HAND1"	-0.0144804750235661	3.3798807413885	-0.136150395420142	0.892450176685742	0.982029946858699	-5.89244019611139
"ATP12A"	0.0213551381603261	3.73140267613526	0.135953263477293	0.892604914297889	0.982071803722624	-5.89246571522089
"GNPNAT1"	0.0561201376850207	8.16668497647012	0.135931341469347	0.892622122118218	0.982071803722624	-5.89246855078493
"ENAM"	0.0158874232724542	3.52363228933269	0.135708371466083	0.892797146838099	0.982190696003993	-5.89249736552055
"RND3"	-0.0291963699965425	7.13961081441539	-0.135293175776717	0.893123077402784	0.982333103445926	-5.89255089594005
"GRAMD2"	0.0265299593643675	5.77406492780193	0.135275702540189	0.89313679438812	0.982333103445926	-5.89255314513958
"AMELY"	0.0137228031087271	3.87452273347791	0.135186007999357	0.893207207665914	0.982333103445926	-5.89256468628132
"RPS6KB2"	-0.0256017791807244	6.35936066843914	-0.135138795233441	0.893244271651805	0.982333103445926	-5.89257075815249
"SIRT7"	-0.0238418407220164	4.83193642791575	-0.135116914540802	0.893261448988394	0.982333103445926	-5.89257357143453
"RNF32"	0.0195481952005743	4.34051416336303	0.134904584191367	0.893428140654621	0.982343837880304	-5.89260084790358
"HOPX"	-0.0115895183946169	3.84627331360331	-0.13484965292612	0.893471265689401	0.982343837880304	-5.89260789752946
"KRT85"	0.0100892575199523	3.73328019668852	0.134777250763704	0.893528107149074	0.982343837880304	-5.89261718490856
"OAZ1"	0.0458570627588273	9.03713840432549	0.134713119297955	0.89357845592934	0.982343837880304	-5.89262540720372
"PCCB"	-0.0294969769316369	7.32882834247473	-0.134677946792166	0.893606069596189	0.982343837880304	-5.89262991501074
"MEIS3"	-0.0242669894163381	4.26936855484916	-0.134522003200155	0.893728501342	0.982377232452457	-5.89264988701517
"SART1"	0.0203733655120679	5.77101995724051	0.134468642092489	0.893770395901148	0.982377232452457	-5.89265671576995
