Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
TCGA-25-1313-01	0.000117718546400812	0.000817278204270662	0	0.00634349686590568	0	0.0595737483560926	0	0.00925681953427084	0.000415003394904152	0	0	0.0211003880406914	0.0196611280597402	0	0.00523064464455857	0.0994083417007763	0	0.0226511511019548	0.0221268204334537	0	0	0.000815681783829523	0.109	0.114384280810857	1.04239900184056	0.267518220666849
TCGA-25-1314-01	0.0164338896489129	0	0	0.00405226322036795	0	0.0446901072890865	0	0.00869758474185819	0.0145628265548532	0	0.012772356312915	0	0.0092164616363355	0.0133973737500434	0.0197641408514881	0.0424189991268468	0	0	0.00771028779879575	0	0	0	0.364	0.0417799163358726	1.06752133495564	0.193716290931503
TCGA-25-1315-01	0	0	1.07022732820864e-05	0	0	0.0271675360075603	0	0.00429582155301173	0.00165955270107204	0	0	0.00661279347960471	0.00345767301292089	0.0082300262507219	0	0.0221703094156473	0	0.00612085461958741	0.0162467683195793	0	0	0	0.782	-0.00909954550574331	1.08736254492296	0.0959720376329877
TCGA-25-1316-01	0	0	0	0.042106028165622	0	0.0108528971520075	0	0.0210283883885598	0.00134793575646688	0.00413056412660588	0	0.011651210138219	0.00507008823708	0.0103602063734569	0.0154994926905223	0.0226533376079816	0.00023811679708178	0	0.0318245081595071	0	0.000435894883775979	0	0.341	0.04518431713367	1.07988386961055	0.177198668476887
TCGA-25-1317-01	0.00315829440856353	0	0.0280077519605705	0	0	0.0257940707241519	0	0.0193320896928444	0.00665954630599819	0	0	0.00954521865346768	0.00908431996941468	0.0294947681099947	0.0111847940988557	0.0152434186616356	0	0	0.00503509540852671	0	0	0	0.361	0.0427651906464846	1.06713495984513	0.162539367994024
TCGA-25-1318-01	0.000193604026661527	0.000237547214522257	0	0	0	0.0644528834511068	0	0.00684936813452211	0.0121713117116959	0	0.00471774761297446	0.00837651114347609	0.00273750127128339	0.0332119612437755	0	0.0229491239789658	0	0	0.00253964008585829	0	0.000948673729687172	0	0.12	0.106111278780857	1.06371938865681	0.159385873604529
TCGA-25-1319-01	0.000464223330224635	0	0.00119559077388635	0	0	0.0480565866345178	0	0.0154176178945899	0.0300790640519636	0	0.00211506806746895	0.00146570172728252	0.0130400959249887	0.0120058352693791	0.00546804325516013	0.0611904478503419	0	0.0176765815559208	0.0116190913293453	0	0.00102865617054882	0	0.18	0.0839570745436829	1.05004357897454	0.220822603835619
TCGA-25-1320-01	0.0087757967607104	0	0	0.0199278405395787	0	0.0639039337079447	0	0.0137259419197005	0.00425382604572221	0	0	0.0213474863248143	0.00881156348040535	0.0748053529741593	0	0.0507363061260168	0	0.0155114385402625	0.00728156609074373	0	0	0	0.13	0.101837763599616	1.06034242436803	0.289081052510059
TCGA-25-1321-01	0	0.00133480104999154	0	0	0	0.0503972968729956	0	0.0138542165687616	0.00964164561466084	0	0	0.00473754642438846	0.0127545935896184	0.0201934345461561	0.00114269189347204	0.00267340290357442	0	0.00162820230757557	0.00612220218631585	0	0.00131817865684884	0	0.258	0.0597316337780259	1.07607378536449	0.125798212614359
TCGA-25-1322-01	0.00939854633647254	0	0	0	0	0.0361536459525251	0	0.0188905146568559	0.00547158057857159	0	0.00243370311306911	0.00605438394329411	0.0213484207375965	0	0.00178320543680015	0.0795796277911777	0	0.0403052375666088	0	0.00402863497423097	0	0.00310821231666331	0.234	0.0683161549815995	1.06337834615026	0.228555713403866
TCGA-25-1323-01	0	0.0136460544229097	0	0	0	0.074861547352974	0	0.0289584653297783	0.000615798613992999	0	0.000969931618173266	0.0100352363934895	0.0125543814920388	0.0185123495023128	0.00220721503411297	0.00184003265745311	0	0	0.00400753577294509	0	0.000444060158878147	0.00238695475565331	0.436	0.0303671086203554	1.09788700473704	0.171039563104712
TCGA-25-1324-01	0.000230099618001967	0.00621434043309423	0	0	0	0.0346961051359306	0	0.0391959511682345	0.00383409800793171	0	0.01244671061943	0	0.0104821335046265	0.0205124204831165	0.00942441829011154	0.0111250782000305	0	0.0112026729020568	0.0146702693749401	0	0.00129197599181894	0	0.618	0.00790794805483451	1.07872693268745	0.175326273729324
TCGA-25-1326-01	0.00530202181504208	0	0.00344427705552015	0.0127039215173904	0	0.077986709004812	0	0.0115243573907488	0.0169061292999581	0	0	0.014290376723364	0.00588956475550761	0.0355699567285108	0.0311961459973129	0.0915994521542025	0	0	0.00639266619421111	0	0	0.00164296413941049	0.051	0.159468224158099	1.02907748299699	0.314448542775991
TCGA-25-1328-01	0.0120393626469023	0	0	0.00984905899150137	0	0.0475595545064253	0	0.00826811372649563	0.01234197227025	0	0.000188678464193001	0.012617934380303	0.0133618244786181	0.050256943543981	0.00519300685717112	0.0759559489195595	0	0	0.00489235260351118	0	0	0	0.197	0.0785090259552477	1.06803496415234	0.252524751388911
TCGA-25-1329-01	0.00372595339389508	0.000720057778782816	0	0.0117925341720113	0	0.0627040644551458	0	0.00993421947124478	0.0308565480626871	0	0	0	0.00979759376629558	0.0517690547424232	0.00235928441609714	0.024880521543266	0	0	0.0128298948138903	0	0	0.00284012280078925	0.379	0.0393933600377681	1.08196981206716	0.224209849416528
TCGA-25-1623-01	0.0349466525305781	0	0.00822611513131383	0.0367681925592048	0	0.116407432598435	0	0.0503766129597371	0.0419173302199497	0	0	0.0145620543143594	0.0154136756970812	0.0568531886237181	0.0593857551124584	0.140270786380996	0	0	0.0139502547546573	0	0	0.00722600885095861	0.034	0.190911504611878	1.00964649837024	0.596304059733447
TCGA-25-1625-01	0.0112738509164789	0	0.00379591470955674	0.0101919716012463	0	0.0427102408847332	0	0.0120438485869415	0.00445773185700134	0	0	0.0116645550459321	0.0189143586152143	0	0.0189168680258168	0.113530541196665	0	0.00774794805815969	0	0.00197406222534328	0	0.00377228548702806	0.195	0.0802406712677785	1.06395053365674	0.260994177210118
TCGA-25-1626-01	0.02367191992654	0	0.00992449732899894	0.0476642955667852	0	0.0818284106947645	0	0.0203331152182469	0.0209873146231803	0	0	0.028671439574354	0.0365617135991379	0.000738399070901345	0.016045538028253	0.135540983166027	0	0.00590100590278223	0	0.0743744080406537	0	0.003650590064157	0.147	0.0955615268880982	1.05161516747662	0.505893630804782
TCGA-25-1627-01	0	0.00405815675118968	0	0	0	0.0249787347191152	0	0.00895602347204378	0.00805265894860474	0	0	0.0148131732246457	0	0.0449174929118613	0.00572996037143569	0.023987338357264	0	0	0.0020307858186572	0	0	0.000146063347210879	0.219	0.071415826651056	1.08735423368701	0.137670387922028
TCGA-25-1628-01	0.0210396113302215	0	0.00135264497004654	0.0465980111204086	0	0.107596526209346	0	0.0229211967604143	0.0284371480868797	0	0.0156391753065274	0	0.0050350789899149	0.00919660889129816	0.0584535059049063	0.0742516968473058	0	0.000244497983045231	0.00758401418829176	0	0	0	0.048	0.164177058874484	1.03406945534437	0.398349716588607
TCGA-25-1630-01	0	0.00920617802991713	0	0.00374013235113436	0	0.0440684184963442	0	0.00789946258562257	0.0257687620795521	0	0.00421785621550101	0.0126982005129643	0	0.15905142594791	0.0184385837513997	0.141757819352203	0	0	0	0.0143189315740791	0	0.0456415980858297	0.004	0.355958198723989	0.954614364422082	0.486807368982457
TCGA-25-1631-01	0.00556584483827777	0	0.000175478853229598	0	0	0.0563531377760339	0	0.00499542383634474	0.00434757264916991	0	0	0.00840084454983822	0.00894268712356876	0.0267430524106264	0	0.0258758099761705	0	0.0137661131691733	0.00411728755487887	0	0.000392663161871631	0	0.265	0.0576111750551281	1.06823879027482	0.159675915899184
TCGA-25-1632-01	0	0.00072515237574202	0	0	0	0.0186352341456611	0	0.0141536142645473	0.00406282127679549	0	0	0.00442176124043638	0.00829963431525796	0.0165517217171485	0.000176852034933963	0.00752580031676958	0	0	0.00217563159199431	0	0.00111855615404328	0	0.436	0.030413817477842	1.0846245459575	0.0778467794333299
