Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
A11	0	0.0240335509290561	0.40977682307455	0.0150911478664351	0	0.0108668442574423	0	0	0.00726507351475103	0	0.0133905446780622	0.00813990375237862	0.0157938993210231	0.00602105383325497	0.0149787573602849	0.00394441487716141	0.00142503269266152	0	0.0288630022888546	0	0.0140925229265918	0.0152056090871155	0	0.72748598776235	0.690398788167183	0.588888180459623
B01	0.0461257528232175	0	0.313918255785339	0	0.0332766751701983	0.0982342799792576	0.0129381480341938	0	0	0.0776927047915801	0	0	0	0.0104560800004441	0.0201122377859398	0.0307662099294236	0	0.0149169182993248	0.0213245690695595	0	0	0.0266653586720854	0	0.628102395088751	0.779258309791621	0.706427190340564
B02	0	0.0145313493920844	0.282342294602083	0	0.0122167767961864	0.0959942569579168	0.00693116307433798	0	0.0169004393219092	0	0	0.00235200418181395	0.0199835765172117	0.0240371395198228	0.011628236396544	0	0	0.00814239930223214	0.00020256039768986	0	0.0264733336586971	0	0	0.792942923315652	0.630064211120746	0.521735530118529
B03	0.0222997003614204	0	0.299618439702047	0.00495535756173972	0.00581815264329885	0.023125934758773	0.0379418234389184	0.0127246839674148	0	0	0.00340346490206128	0.0115133260893552	0.00805190880530805	0.0210194551490012	0.0140964498882647	0.0129370440554238	0.0307333227058298	0.0114526783581783	0.0340933799809176	0	0.0190395538426862	0	0	0.811915758440672	0.616337364001979	0.572824676210639
B04	0.0125226216295506	0.000730579236644384	0.109881610067352	0.0194093700121993	0.0425071504089588	0.230895221886282	0.0233116705860889	0	0	0	0	0.0218309635171185	0.0492497563173784	0	0	0.0124922016449167	0	0	0.00188512597884533	0	0.0178909931526602	0	0.336	0.0196184969457003	1.10312682691977	0.542607264437995
B05	0.0397170276747888	0	0.137528919032928	0	0	0.19620279341252	0.03198182221478	0	0	0	0	0.0420251466947978	0.0283458862481771	0.0241137653598233	0.0179939646882832	0	0	0	0.0319048048688858	0	0.012496330135524	0	0.191	0.0524353265902201	1.08064506741956	0.562310460330508
B06	0.027147583467014	0	0.147942346358647	0.00253342470104357	0.0287099137944957	0.204556423827753	0.0142703040506177	0	0	0	0	0.0220252897188234	0.0359351510534089	0.00727959188539421	0.00436053197431071	0.0255906293557311	0	0.00184926742869776	0.00031526081576168	0	0.0190328024667104	0	0.128	0.0720392433889999	1.07973515107927	0.541548520898409
B07	0	0	0.224545636444435	0	0	0.139047457272175	0.0545070424288778	0	0	0	0.00146377600626264	0.0126109768286679	0.014716849676891	0	0.0233389999843603	0.0539176840943886	0	0	0.0448020969537327	0	0.00310139948361991	0.0425591391266957	0.019	0.239866776424057	0.997653721455391	0.614611058300106
B08	0	0	0.27695278459686	0	0	0.123881686130876	0.052598394744213	0	0	0	0	0.0166229785410151	0.00991326971191988	0	0.0110650006204705	0.0320537351599277	0	0.0259712931017459	0.0375058905877536	0	0	0.0234474476650086	0.00700000000000001	0.332920025107251	0.965385666018719	0.61001248085979
B09	0.0144568005133608	0.00253925568093312	0.110434272623147	0	0.06655848702468	0.228200825026844	4.61632232377854e-05	0	0	0	0.0030278020774021	0.0384824723483594	0.0389029013381989	0.0147678105929502	0.0179118231854957	0.00519003066805686	0	0.00447463916200061	0.02732622198741	0	0.0195918568337608	0	0.011	0.287322532886906	0.973381645735533	0.591911362285838
B10	0.0246954436286203	0	0.0916704239147136	0	0.0301722972888198	0.292588733918598	0	0	0	0	0	0.0303092616464919	0.0680028339909461	0	0	0.022810006568223	0.00101021321196106	0.000758954206908353	0	0.00309302058689237	0.0136390063021756	0	0.005	0.390257376044828	0.92534298705697	0.57875019526435
B11	0	0.0171621316516586	0.112722502954079	0.00329073828037941	0.0188545826825193	0.303397111152767	0.0070122539935786	0	0	0	0	0.0203170074282138	0.0477043488175602	0.00737719407083488	0.00797889757648228	0.0123100195329013	0	0.0179020944097033	0	0.00348162810249341	0.0204299228106343	0	0.00600000000000001	0.360647340257828	0.93941742276253	0.599940433463806
B12	0.0014406460179415	0	0.118201816932723	0	0.0688368364373811	0.260357606360351	0.0138258063771633	0	0	0	0	0.0250170185127604	0.037057524901625	0	0.0253346557313049	0.00535673936635974	0.00403910474621013	0.00195836251725971	0.0127595117310768	0	0.016768062677759	0	0.005	0.391460291817897	0.924368347900572	0.590953692309915
C01	0.0332063027486116	0	0.268136391912001	0.0145564332560919	0.0104075990011381	0.161902270530458	0.0164283467226722	0	0	0	0	0.017584425042723	0.02905660568339	0	0.024212630560269	0.0108442505176835	0.00828110418720316	0.00240936320815461	0	0	0	0.0165187071859272	0	0.678448562923803	0.741589473961267	0.613544430556324
C02	0.000518105678881851	0	0.33869370784463	0	0.0152787315624874	0.0369594997033775	0.0197603634475862	0	0	0	0	0.0252309874999364	0	0.0251744503257238	0.0345455797906199	0.001816643479392	0.000396450314144262	0	0.0385065478477348	0	0.0391896230687943	0.0160935184650902	0	0.742580907239669	0.676685317959361	0.592164209028399
C03	0.0245615865993533	0	0.273195693779846	0.000613709801881602	0.112000226332154	0.076618866448334	0.0242406462678308	0	0	0	0.0368549912473776	0	0.0461373549408783	0	0.0395737983957076	0.00699670079252988	0	0.00409339518459223	0.00893551523141492	0	0.0197356433794215	0	0.036	0.182072673012904	1.04600437401629	0.673558128401322
C04	0.00532210930677699	0	0.299943514219372	0	0.0358486129378476	0.0575305306385198	0.0205308934298565	0	0	0	0.00825404085038987	0.00147625130098552	0.0303217705444745	0.0193663370300785	0.0379184862445217	0.0410901748690083	0	0.00251751780917703	0.0190290459593911	0	0.0164749642454861	0	0	0.731630644540052	0.69724741670693	0.595624249385886
C05	0.00745716652015341	0	0.214579363932131	0	0.00724105259017819	0.170951384845718	0.0267412052277288	0	0	0	0	0.0296847774463695	0.0324239836885406	0	0.0525793782090924	0.0346850787362047	0	0.0101878079539902	0.0204774291474505	0	0.00386087033597134	0	0.003	0.461136408227714	0.887502988723217	0.610869498633529
C06	0	0.0712981539095957	0.0454959000315707	0	0.046374573414493	0.169885181949308	0.0780318668876639	0	0	0	0.011212897398475	0	0.049961854200961	0	0.0220612488057802	0.0101655762691554	0.0582922778613695	0	0.00679818676876685	0	0.0175573011870312	0.00126367937469872	0.296	0.0273731600440318	1.06635632171584	0.588398698058869
C07	0	0.014677867220254	0.149805702304887	0.00303410442377006	0.0353338987003558	0.194177657937879	0.0230580833319807	0	0	0	0	0.0332835339023336	0.0516064791825052	0	0	0.0313848440559557	0.00664852046787443	0.00682886066799988	0.0185102903431168	0	0.0115804818918755	0	0.146	0.0660376874599128	1.07057894239704	0.579930324430788
C08	0	0.0407116143825557	0.0290684576207719	0	0	0.231689543620135	0.0495413682931098	0	0	0	0	0.0330933372947093	0.0591542846594021	0	0.0186079953297311	0.00768540228451815	0	0.0378858207630928	0.0417210305955622	0	0.0131759113850587	0.00173866420131424	0.562	-0.00583984522566725	1.08596585559447	0.564073430429961
C09	0.0367323714667815	0	0.118190992667205	0	0	0.166124411436474	0.0868218649594929	0	0	0	0.044010094928655	0	0.0703635075636766	0	0.0092534149178606	0	0.0212109632135052	0	0.00818574181509296	0	0.00782424885030938	0	0.14	0.0681006869410384	1.06163483586026	0.568717611819054
C10	0.00672931011314103	0	0.135279496287697	0.0235278386281613	0	0.125105835591391	0.063970500208901	0	0	0	0.0207549345059233	0	0.0626705982870079	0.00497318127559107	0.0112112850705891	0.0149391962696901	0.0160672439803666	0	0	0.00858389309076104	0.0323992676578509	0.0250859709259396	0.314	0.0229541656538564	1.07359755345501	0.551298551893011
C11	0.00109301122129555	0.0274119546852562	0.357747052677265	0	0.0798617156142424	0	0	0.014549102121523	0	0.0776900667214513	0	0	0.00796245237321903	0.0074126821724858	0.0228612857090872	0.0242335503832883	0	0	0.00688003776412702	0	0	0.0118646528971065	0	0.772284867356801	0.643900825800787	0.639567564340348
C12	0	0.00712344984523455	0.331323030845933	0.0230485669812038	0.00499920325801704	0.0643034242172422	0.00663324505944827	0	0	0.042889468282673	0	0.0156446190161153	0	0.0117683117305774	0.00647930597729178	0.0237882622737224	0.0303515644508955	0	0.0198697456672263	0	0	0.0143160769907833	0	0.688453433564541	0.72758777447751	0.602538274596363
D01	0	0	0.277061532395622	0	0	0.180506962628397	0.00162942061322546	0	0	0	0	0.0218785855438591	0.00536373859911491	0	0.00366563952636306	0.0408425920525281	0	0	0.0113176692815131	0	0.0170582644229202	0.0434767019970594	0.003	0.466130783618123	0.889894975483653	0.602801107060602
D02	0	0.0112080600988001	0.296527509404605	0.000407332126869563	0.0249164522314057	0.0771451698652847	0.044898522588244	0	0	0.0268613466029717	0	0.000762193956034755	0.00934423318024376	0	0.00282824765944236	0.0434539739013237	0.00351935903951507	0	0.0365406913932621	0	0.020592539866406	0.0297301412578581	0	0.713892869446103	0.717678783124843	0.628735773172267
D03	0	0.138116814951007	0.0308219254538216	0	0	0.170431131398536	0.0235870411431256	0	0	0	0	0.0354509599816524	0.0231054313826375	0	0.0137069747251491	0.0417009944825687	0	0.00784068103850916	0.0266520247311787	0	0.00841371996609751	0.0243433065844358	0.559	-0.00540436239816633	1.09628037212805	0.544171005838719
