"entrez_id","hgnc_symbol","RG10T17","RG10T18","RG10T19","RG10T5","RG10T7","RG10T8","RG13T10","RG13T11","RG13T122","RG13T13","RG13T14","RG16T1","RG16T3","RG16T5","RG16T9","RG17T13","RG17T14","RG17T19","RG17T6","RG17T7","RG17T9","RG19-T10","RG19-T11","RG19-T7","RG19-T8","RG19-T9","RG1T3","RG1T5","RG1T6","RG1T7","RG20-T10","RG20-T12","RG20-T14","RG20-T8","RG4T1","RG4T2","RG4T3","RG4T4","RG4T5","RG5T12","RG5T13","RG5T14Rep","RG5T15","RG5T16","RG5T17","RG5T22","RG6T12","RG6T13","RG6T16","RG6T3"
"641700","ECSCR",3,2,2,2,2,2,5,2,3,4,3,2,2,2,2,4,4,4,2,4,4,2,2,2,2,2,3,3,4,3,3,3,2,3,3,3,3,3,3,4,4,7,5,4,5,5,2,3,2,4
"64172","OSGEPL1",5,5,5,5,4,4,5,2,3,3,3,2,2,2,2,3,3,4,2,3,3,3,3,3,3,3,4,4,4,3,3,5,4,5,4,4,4,4,4,4,4,7,5,4,5,5,7,7,7,7
"64174","DPEP2",3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,3,4,3,3,3,2,2,3,2,3,3,2,4,2,2,2,2,2,2,2,3,3,2,2,3,4,4,4,3
"64175","P3H1",5,5,5,3,3,3,4,2,3,3,3,3,3,3,3,4,4,5,2,3,4,5,4,5,5,5,7,7,8,7,5,5,5,5,3,3,3,3,3,6,6,8,8,6,6,8,7,8,7,7
"6418","SET",3,2,3,3,3,2,4,2,5,4,5,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,3,4,3,4,4,5,4,2,2,2,2,2,4,4,6,6,4,4,7,4,7,4,4
"64180","DPEP3",3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,3,4,3,3,3,2,2,3,2,3,3,2,4,2,2,2,2,2,2,2,3,3,2,2,3,4,4,4,3
"64184","EDDM3B",3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2,3,3,3,3,3,5,5,4,3,5,5,8,6,5,5,4,4,4,4,4,7,5,4,5,5,6,6,6,7
"6419","SETMAR",2,2,2,2,2,2,5,2,5,4,5,2,2,NA,NA,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,5,5,5,7,3,3,3,3,3,4,4,7,6,5,3,4,6,6,7,7
"641977","SEPT7P2",3,2,2,2,2,2,5,2,5,4,5,3,3,3,3,4,4,4,3,3,3,2,4,2,2,2,3,3,3,2,4,5,7,5,3,3,3,3,3,2,2,3,3,2,2,3,6,6,6,8
"642","BLMH",3,2,2,2,2,2,2,3,2,2,2,3,3,3,4,4,4,4,2,3,4,2,4,2,2,2,3,3,4,3,2,3,2,4,2,2,2,2,2,2,2,3,3,2,2,3,2,2,4,2
"64207","IRF2BPL",6,5,4,4,4,4,3,3,2,2,2,3,3,3,3,2,2,2,1,2,2,3,3,3,3,3,3,3,4,3,5,5,5,5,3,3,3,3,3,6,6,7,7,6,6,8,5,5,5,6
"64208","POPDC3",7,7,7,7,7,5,5,2,3,4,3,2,2,2,2,4,4,3,2,3,4,4,3,4,4,4,7,7,8,7,4,3,2,4,5,5,5,5,4,2,2,3,3,2,2,3,NA,NA,NA,NA
"6421","SFPQ",7,7,5,5,5,5,4,2,3,3,3,3,3,3,3,4,4,5,2,3,4,5,4,5,5,5,5,4,6,4,5,5,5,5,3,3,3,3,3,4,4,5,5,4,4,5,NA,NA,NA,NA
"64210","MMS19",3,2,2,2,2,2,2,3,2,2,2,3,3,3,3,4,4,4,2,3,4,3,3,3,3,3,3,3,4,3,5,3,3,4,2,2,2,2,2,2,2,3,3,2,2,3,4,3,4,2
"64211","LHX5",5,NA,NA,NA,NA,3,2,3,2,2,2,2,2,2,2,3,3,5,1,2,3,3,3,3,3,3,4,4,4,3,4,3,6,4,3,3,3,3,3,4,4,7,5,4,5,8,4,4,4,3
"64215","DNAJC1",5,5,5,5,4,3,5,2,5,4,5,NA,NA,NA,NA,3,3,4,2,3,3,2,2,2,2,2,3,3,4,3,5,5,5,5,3,3,3,3,3,4,4,7,5,NA,NA,5,6,5,4,8
"64216","TFB2M",5,5,5,5,4,4,8,5,7,7,7,3,3,3,3,7,7,7,4,5,7,3,3,3,3,3,5,4,7,5,4,5,6,4,3,3,3,3,3,2,2,4,3,3,3,5,4,5,4,3
"64218","SEMA4A",7,5,5,5,5,5,NA,2,4,NA,4,4,4,4,4,4,4,4,3,3,4,5,5,5,5,5,5,4,8,6,5,5,8,7,4,4,4,4,4,4,4,7,5,4,5,5,6,6,6,7
"6422","SFRP1",8,8,8,8,8,8,5,6,5,4,5,2,2,2,2,5,5,4,2,3,4,8,NA,NA,8,8,5,4,4,3,4,5,6,5,3,3,3,3,3,8,8,8,8,8,8,8,NA,7,NA,8
"64220","STRA6",5,4,4,4,4,4,4,2,2,2,2,2,2,2,2,4,4,4,3,3,4,3,3,3,3,3,2,2,3,2,5,5,5,5,2,2,2,2,2,4,4,7,5,4,5,5,4,4,5,4
"64221","ROBO3",3,2,1,2,4,1,6,4,5,5,5,2,2,2,2,2,2,7,2,2,3,2,2,2,2,2,2,2,3,2,4,3,3,4,3,3,3,3,3,2,2,3,3,2,2,3,5,4,3,4
"64222","TOR3A",5,5,5,5,5,4,5,2,4,5,4,3,3,3,3,7,7,7,4,6,7,5,4,5,5,5,4,4,5,5,5,5,7,5,4,4,4,4,4,4,4,7,5,4,5,5,8,7,8,7
"64223","MLST8",3,2,2,2,2,2,2,3,2,2,2,NA,3,NA,3,5,5,5,3,4,5,2,3,2,2,2,3,3,3,2,3,3,2,4,2,2,2,2,2,2,2,3,3,2,2,3,4,4,5,3
"64224","HERPUD2",3,2,2,2,2,2,5,2,5,4,5,4,4,4,4,4,4,4,3,4,3,2,3,2,2,2,3,3,3,2,4,5,7,5,3,3,3,3,3,2,2,3,3,2,2,3,5,4,4,3
"64225","ATL2",5,3,3,3,3,3,5,2,5,4,3,3,3,3,3,6,6,6,2,4,6,3,4,3,3,3,5,4,7,5,5,5,5,5,4,4,4,4,4,4,4,7,5,5,5,5,6,4,6,6
