"gene_symbol","gene_symbol.1","r","p","mean_cna","padj"
"MRPL18","MRPL18",0.709416778344866,1.83198562188676e-06,3.71428571428571,0.0245357834339293
"SMAD4","SMAD4",0.709361519340118,1.83689106793604e-06,2.95918367346939,0.0245996451817994
"IGF2R","IGF2R",0.701868879360041,1.84390085418523e-06,3.78,0.0246916763383944
"ZNF623","ZNF623",0.699953212160118,2.02198905359893e-06,5.28,0.0270744334276896
"KLHL24","KLHL24",0.696732284588564,2.35727583770373e-06,5.98,0.0315615661910153
"GLRX5","GLRX5",0.719300078088041,2.39883851886072e-06,3.72340425531915,0.0321156500905073
"WDR74","WDR74",0.696175134687641,2.42018867994746e-06,3.62,0.0323990658584567
"MAGEF1","MAGEF1",0.696160477564521,2.42186430585885e-06,5.8,0.0324190755982266
"IREB2","IREB2",0.695552930433114,2.49226165081516e-06,3.48,0.0333589221961609
"RC3H2","RC3H2",0.71026913361784,2.53340986244394e-06,3.52083333333333,0.0339071575989497
"WDR75","WDR75",0.694161125539441,2.66064789823685e-06,3.98,0.0356074508221038
"UMPS","UMPS",0.689321312770337,3.33052480368272e-06,4.48,0.0445690829228822
"ATG5","ATG5",0.689219874607166,3.34608422886577e-06,4.26,0.0447739530664528
"TNPO3","TNPO3",0.68764769086727,3.59589494537888e-06,3.9,0.0481130743691694
"SRP14","SRP14",0.686899842144313,3.7206086436419e-06,2.46,0.049778023043285
"VDAC3","VDAC3",0.741869677151027,4.11080045406036e-06,5.15789473684211,0.0549942884744195
"XRCC2","XRCC2",0.684312082922767,4.18329173006818e-06,4.24,0.055959893473122
"WDR5B","WDR5B",0.683644224486321,4.31094746032721e-06,4.56,0.0576632332293368
"NCBP2","NCBP2",0.68297053040092,4.44331570388748e-06,5.2,0.059429347539495
"CD164","CD164",0.680885708109508,4.87682357024902e-06,4.1,0.0652226384285104
"KPNA1","KPNA1",0.680744075442993,4.9076306645962e-06,4.56,0.065629744877645
"CCDC28A","CCDC28A",0.687907427005157,4.96461919471129e-06,3.81632653061224,0.0663868878716794
"INTS2","INTS2",0.727720207233214,5.19144955515864e-06,3.34090909090909,0.0694148720020262
"SMYD2","SMYD2",0.679015496671539,5.29821642116871e-06,3.7,0.0708371535510256
"POLE3","POLE3",0.676226174331906,5.98871308438739e-06,3.38,0.080063105225175
"MRPL16","MRPL16",0.675426102599872,6.20140126683133e-06,3.56,0.0829003321350012
"CENPN","CENPN",0.674468759309804,6.46494601805383e-06,2.61224489795918,0.0864169334233255
"CPSF2","CPSF2",0.71378717065346,6.53384842410081e-06,3.64444444444444,0.0873314180365314
"RPP38","RPP38",0.680154652266384,6.96830805028802e-06,3.44897959183673,0.0931314370920994
"ADAL","ADAL",0.672021324370239,7.18581599899501e-06,2.52,0.0960312450105693
"SMC2","SMC2",0.693372229387536,7.70321234260912e-06,3.09302325581395,0.102938026534286
"UBE2L3","UBE2L3",0.669187214718349,8.11172193027125e-06,3.26,0.108388828432284
"ZNF461","ZNF461",0.690297519127987,8.7764622250403e-06,4.80851063829787,0.117262311788763
"PRPF4","PRPF4",0.666824817389854,8.96525437509175e-06,3.38,0.119775798451226
"BRAP","BRAP",0.666251931793754,9.18420253484876e-06,3.54,0.122691761663045
"MARCH7","MARCH7",0.665534141392641,9.46540479090456e-06,3.98,0.126438877196903
"CBLL1","CBLL1",0.66421315293988,1.00035068337726e-05,4.06,0.133616840778701
"ANXA2P2","ANXA2P2",-0.671011028548251,1.02622654157077e-05,3.28571428571429,0.137062816892192
"RAB7A","RAB7A",0.663552008725372,1.02831551528858e-05,4.52,0.13733153706679
"MRPL51","MRPL51",0.663168894781841,1.04484434600224e-05,4.66,0.13952851396514
"DCUN1D1","DCUN1D1",0.662825790148257,1.05985204308309e-05,5.98,0.141522043312885
"XPA","XPA",0.692073381221947,1.14515443034058e-05,3.26086956521739,0.152901019539074
"SYF2","SYF2",0.668340582960013,1.14618455499937e-05,3.46938775510204,0.153027099937966
"DCLRE1A","DCLRE1A",0.666645075724005,1.22882245880615e-05,2.75510204081633,0.16404779825062
"C12orf4","C12orf4",0.658723156378949,1.25516056544935e-05,4.96,0.167551383881834
